DATE,VALUE
1973-01-01,42.600
1973-02-01,42.900
1973-03-01,43.300
1973-04-01,43.600
1973-05-01,43.900
1973-06-01,44.200
1973-07-01,44.300
1973-08-01,45.100
1973-09-01,45.200
1973-10-01,45.600
1973-11-01,45.900
1973-12-01,46.200
1974-01-01,46.600
1974-02-01,47.200
1974-03-01,47.800
1974-04-01,48.000
1974-05-01,48.600
1974-06-01,49.000
1974-07-01,49.400
1974-08-01,50.000
1974-09-01,50.600
1974-10-01,51.100
1974-11-01,51.500
1974-12-01,51.900
1975-01-01,52.100
1975-02-01,52.500
1975-03-01,52.700
1975-04-01,52.900
1975-05-01,53.200
1975-06-01,53.600
1975-07-01,54.200
1975-08-01,54.300
1975-09-01,54.600
1975-10-01,54.900
1975-11-01,55.300
1975-12-01,55.500
1976-01-01,55.600
1976-02-01,55.800
1976-03-01,55.900
1976-04-01,56.100
1976-05-01,56.500
1976-06-01,56.800
1976-07-01,57.100
1976-08-01,57.400
1976-09-01,57.600
1976-10-01,57.900
1976-11-01,58.000
1976-12-01,58.200
1977-01-01,58.500
1977-02-01,59.100
1977-03-01,59.500
1977-04-01,60.000
1977-05-01,60.300
1977-06-01,60.700
1977-07-01,61.000
1977-08-01,61.200
1977-09-01,61.400
1977-10-01,61.600
1977-11-01,61.900
1977-12-01,62.100
1978-01-01,62.500
1978-02-01,62.900
1978-03-01,63.400
1978-04-01,63.900
1978-05-01,64.500
1978-06-01,65.200
1978-07-01,65.700
1978-08-01,66.000
1978-09-01,66.500
1978-10-01,67.100
1978-11-01,67.400
1978-12-01,67.700
1979-01-01,68.300
1979-02-01,69.100
1979-03-01,69.800
1979-04-01,70.600
1979-05-01,71.500
1979-06-01,72.300
1979-07-01,73.100
1979-08-01,73.800
1979-09-01,74.600
1979-10-01,75.200
1979-11-01,75.900
1979-12-01,76.700
1980-01-01,77.800
1980-02-01,78.900
1980-03-01,80.100
1980-04-01,81.000
1980-05-01,81.800
1980-06-01,82.700
1980-07-01,82.700
1980-08-01,83.300
1980-09-01,84.000
1980-10-01,84.800
1980-11-01,85.500
1980-12-01,86.300
1981-01-01,87.000
1981-02-01,87.900
1981-03-01,88.500
1981-04-01,89.100
1981-05-01,89.800
1981-06-01,90.600
1981-07-01,91.600
1981-08-01,92.300
1981-09-01,93.200
1981-10-01,93.400
1981-11-01,93.700
1981-12-01,94.000
1982-01-01,94.300
1982-02-01,94.600
1982-03-01,94.500
1982-04-01,94.900
1982-05-01,95.800
1982-06-01,97.000
1982-07-01,97.500
1982-08-01,97.700
1982-09-01,97.900
1982-10-01,98.200
1982-11-01,98.000
1982-12-01,97.600
1983-01-01,97.800
1983-02-01,97.900
1983-03-01,97.900
1983-04-01,98.600
1983-05-01,99.200
1983-06-01,99.500
1983-07-01,99.900
1983-08-01,100.200
1983-09-01,100.700
1983-10-01,101.000
1983-11-01,101.200
1983-12-01,101.300
1984-01-01,101.900
1984-02-01,102.400
1984-03-01,102.600
1984-04-01,103.100
1984-05-01,103.400
1984-06-01,103.700
1984-07-01,104.100
1984-08-01,104.500
1984-09-01,105.000
1984-10-01,105.300
1984-11-01,105.300
1984-12-01,105.300
1985-01-01,105.500
1985-02-01,106.000
1985-03-01,106.400
1985-04-01,106.900
1985-05-01,107.300
1985-06-01,107.600
1985-07-01,107.800
1985-08-01,108.000
1985-09-01,108.300
1985-10-01,108.700
1985-11-01,109.000
1985-12-01,109.300
1986-01-01,109.600
1986-02-01,109.300
1986-03-01,108.800
1986-04-01,108.600
1986-05-01,108.900
1986-06-01,109.500
1986-07-01,109.500
1986-08-01,109.700
1986-09-01,110.200
1986-10-01,110.300
1986-11-01,110.400
1986-12-01,110.500
1987-01-01,111.200
1987-02-01,111.600
1987-03-01,112.100
1987-04-01,112.700
1987-05-01,113.100
1987-06-01,113.500
1987-07-01,113.800
1987-08-01,114.400
1987-09-01,115.000
1987-10-01,115.300
1987-11-01,115.400
1987-12-01,115.400
1988-01-01,115.700
1988-02-01,116.000
1988-03-01,116.500
1988-04-01,117.100
1988-05-01,117.500
1988-06-01,118.000
1988-07-01,118.500
1988-08-01,119.000
1988-09-01,119.800
1988-10-01,120.200
1988-11-01,120.300
1988-12-01,120.500
1989-01-01,121.100
1989-02-01,121.600
1989-03-01,122.300
1989-04-01,123.100
1989-05-01,123.800
1989-06-01,124.100
1989-07-01,124.400
1989-08-01,124.600
1989-09-01,125.000
1989-10-01,125.600
1989-11-01,125.900
1989-12-01,126.100
1990-01-01,127.400
1990-02-01,128.000
1990-03-01,128.700
1990-04-01,128.900
1990-05-01,129.200
1990-06-01,129.900
1990-07-01,130.400
1990-08-01,131.600
1990-09-01,132.700
1990-10-01,133.500
1990-11-01,133.800
1990-12-01,133.800
1991-01-01,134.600
1991-02-01,134.800
1991-03-01,135.000
1991-04-01,135.200
1991-05-01,135.600
1991-06-01,136.000
1991-07-01,136.200
1991-08-01,136.600
1991-09-01,137.200
1991-10-01,137.400
1991-11-01,137.800
1991-12-01,137.900
1992-01-01,138.100
1992-02-01,138.600
1992-03-01,139.300
1992-04-01,139.500
1992-05-01,139.700
1992-06-01,140.200
1992-07-01,140.500
1992-08-01,140.900
1992-09-01,141.300
1992-10-01,141.800
1992-11-01,142.000
1992-12-01,141.900
1993-01-01,142.600
1993-02-01,143.100
1993-03-01,143.600
1993-04-01,144.000
1993-05-01,144.200
1993-06-01,144.400
1993-07-01,144.400
1993-08-01,144.800
1993-09-01,145.100
1993-10-01,145.700
1993-11-01,145.800
1993-12-01,145.800
1994-01-01,146.200
1994-02-01,146.700
1994-03-01,147.200
1994-04-01,147.400
1994-05-01,147.500
1994-06-01,148.000
1994-07-01,148.400
1994-08-01,149.000
1994-09-01,149.400
1994-10-01,149.500
1994-11-01,149.700
1994-12-01,149.700
1995-01-01,150.300
1995-02-01,150.900
1995-03-01,151.400
1995-04-01,151.900
1995-05-01,152.200
1995-06-01,152.500
1995-07-01,152.500
1995-08-01,152.900
1995-09-01,153.200
1995-10-01,153.700
1995-11-01,153.600
1995-12-01,153.500
1996-01-01,154.400
1996-02-01,154.900
1996-03-01,155.700
1996-04-01,156.300
1996-05-01,156.600
