Back to Contents,Data 1: U.S. Ending Stocks of Crude Oil (Thousand Barrels),,,
Sourcekey,MCRSTUS1,,,
Date,U.S. Ending Stocks of Crude Oil (Thousand Barrels),,,
Jan-1920,132124,,,
Feb-1920,131099,,,
Mar-1920,130099,,,
Apr-1920,129108,,,
May-1920,128618,,,
Jun-1920,128526,,,
Jul-1920,131229,,,
Aug-1920,132112,,,
Sep-1920,134272,,,
Oct-1920,134360,,,
Nov-1920,136285,,,
Dec-1920,136213,,,
Jan-1921,125589,,,
Feb-1921,132222,,,
Mar-1921,139499,,,
Apr-1921,146399,,,
May-1921,155267,,,
Jun-1921,162463,,,
Jul-1921,168821,,,
Aug-1921,169682,,,
Sep-1921,172874,,,
Oct-1921,174149,,,
Nov-1921,178260,,,
Dec-1921,185623,,,
Jan-1922,196228,,,
Feb-1922,208851,,,
Mar-1922,221588,,,
Apr-1922,235962,,,
May-1922,247093,,,
Jun-1922,255817,,,
Jul-1922,261395,,,
Aug-1922,262707,,,
Sep-1922,263761,,,
Oct-1922,265073,,,
Nov-1922,265017,,,
Dec-1922,264578,,,
Jan-1923,258197,,,
Feb-1923,260717,,,
Mar-1923,264899,,,
Apr-1923,270155,,,
May-1923,279272,,,
Jun-1923,290252,,,
Jul-1923,299368,,,
Aug-1923,307100,,,
Sep-1923,314493,,,
Oct-1923,323789,,,
Nov-1923,332887,,,
Dec-1923,334774,,,
Jan-1924,375415,,,
Feb-1924,378774,,,
Mar-1924,352220,,,
Apr-1924,387998,,,
May-1924,393151,,,
Jun-1924,397039,,,
Jul-1924,401344,,,
Aug-1924,407797,,,
Sep-1924,411524,,,
Oct-1924,409030,,,
Nov-1924,406450,,,
Dec-1924,399792,,,
Jan-1925,419364,,,
Feb-1925,420311,,,
Mar-1925,420636,,,
Apr-1925,423656,,,
May-1925,430075,,,
Jun-1925,431067,,,
Jul-1925,431938,,,
Aug-1925,431202,,,
Sep-1925,433408,,,
Oct-1925,433342,,,
Nov-1925,433468,,,
Dec-1925,431646,,,
Jan-1926,422439,,,
Feb-1926,420531,,,
Mar-1926,420630,,,
Apr-1926,410700,,,
May-1926,409562,,,
Jun-1926,403885,,,
Jul-1926,400312,,,
Aug-1926,397880,,,
Sep-1926,395835,,,
Oct-1926,395366,,,
Nov-1926,394640,,,
Dec-1926,403338,,,
Jan-1927,405296,,,
Feb-1927,410837,,,
Mar-1927,415814,,,
Apr-1927,423856,,,
May-1927,431590,,,
Jun-1927,440438,,,
Jul-1927,448919,,,
Aug-1927,456501,,,
Sep-1927,462931,,,
Oct-1927,466839,,,
Nov-1927,472896,,,
Dec-1927,473379,,,
Jan-1928,481712,,,
Feb-1928,486199,,,
Mar-1928,490818,,,
Apr-1928,492419,,,
May-1928,492473,,,
Jun-1928,491938,,,
Jul-1928,490298,,,
Aug-1928,488934,,,
Sep-1928,486930,,,
Oct-1928,488349,,,
Nov-1928,488193,,,
Dec-1928,491847,,,
Jan-1929,497525,,,
Feb-1929,505920,,,
Mar-1929,512989,,,
Apr-1929,516161,,,
May-1929,518980,,,
Jun-1929,523104,,,
Jul-1929,529983,,,
Aug-1929,538982,,,
Sep-1929,543557,,,
Oct-1929,545186,,,
Nov-1929,539837,,,
Dec-1929,535514,,,
