DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2016-03-24,16.3,16.64,16.22,16.57,82912.0
2016-03-23,16.91,16.947,16.633,16.7,111716.0
2016-03-22,16.97,17.25,16.92,17.197,55290.0
2016-03-21,16.98,17.15,16.83,17.11,98123.0
2016-03-18,17.26,17.292,16.91,17.0,147379.0
2016-03-17,16.86,17.09,16.71,17.0,118183.0
2016-03-16,16.36,16.611,16.33,16.59,55559.0
2016-03-15,16.1,16.11,15.9,16.03,128775.0
2016-03-14,16.32,16.458,16.19,16.28,103343.0
2016-03-11,16.75,16.8,16.51,16.71,84705.0
2016-03-10,16.48,16.65,16.4,16.51,57951.0
2016-03-09,16.47,16.83,16.385,16.72,152664.0
2016-03-08,16.77,16.78,16.13,16.13,228465.0
2016-03-07,16.26,16.88,16.26,16.82,269342.0
2016-03-04,15.74,16.16,15.5,16.16,237728.0
2016-03-03,15.31,15.58,15.26,15.57,80070.0
2016-03-02,15.26,15.57,15.151,15.49,206991.0
2016-03-01,15.31,15.6,15.196,15.41,205339.0
2016-02-29,15.21,15.37,15.09,15.36,116285.0
2016-02-26,15.45,15.5,14.86,15.0,139344.0
2016-02-25,14.8,15.2,14.49,15.02,141881.0
2016-02-24,14.4,14.94,14.241,14.9,185715.0
2016-02-23,14.98,14.98,14.52,14.67,148007.0
2016-02-22,15.14,15.269,15.0,15.11,255303.0
2016-02-19,14.87,14.95,14.45,14.65,199394.0
2016-02-18,15.35,15.39,14.78,14.81,208333.0
2016-02-17,14.64,15.24,14.5,15.07,345887.0
2016-02-16,14.8,14.89,14.23,14.4,476466.0
2016-02-15,,,,14.57,
2016-02-12,14.33,14.83,14.12,14.57,204141.0
2016-02-11,13.83,14.22,13.69,14.2,373311.0
2016-02-10,14.0,14.44,13.9,14.03,382642.0
2016-02-09,14.66,14.81,13.87,14.12,388145.0
2016-02-08,15.13,15.2,14.75,14.89,224267.0
2016-02-05,15.35,15.58,15.107,15.25,257266.0
2016-02-04,15.59,15.845,15.2,15.35,144570.0
2016-02-03,15.0,15.53,14.59,15.53,250675.0
2016-02-02,14.7,14.9,14.52,14.65,184830.0
2016-02-01,15.55,15.55,15.13,15.17,103613.0
2016-01-29,15.9,16.05,15.459,15.88,147066.0
2016-01-28,15.77,15.832,15.34,15.75,156372.0
2016-01-27,14.66,15.35,14.54,15.02,171458.0
2016-01-26,14.5,15.11,14.41,14.66,129802.0
2016-01-25,14.56,14.75,14.17,14.18,121859.0
2016-01-22,14.54,14.9,14.411,14.9,166823.0
2016-01-21,13.34,14.098,13.247,14.03,282575.0
2016-01-20,13.41,13.61,12.99,13.6,205708.0
2016-01-19,14.02,14.02,13.63,13.67,167707.0
2016-01-18,,,,14.04,
2016-01-15,14.09,14.19,13.82,14.04,326700.0
