DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2016-03-31,16.3,16.64,16.22,16.57,82912.0
2016-02-29,15.21,15.37,15.09,15.36,116285.0
2016-01-31,15.9,16.05,15.459,15.88,147066.0
2015-12-31,16.69,17.227,16.63,17.02,62481.0
2015-11-30,19.57,19.61,19.17,19.21,42471.0
2015-10-31,20.82,21.2,20.71,21.03,34969.0
2015-09-30,20.5,20.67,20.3,20.58,21146.0
2015-08-31,20.9,22.74,20.47,22.37,249165.0
2015-07-31,22.54,22.54,21.85,21.93,82130.0
2015-06-30,26.57,26.87,26.47,26.77,16074.0
2015-05-31,26.25,27.3,26.25,27.08,69053.0
2015-04-30,27.47,27.84,27.37,27.79,126721.0
2015-03-31,24.03,24.31,23.85,23.9,40733.0
2015-02-28,25.92,26.25,25.62,26.0,175082.0
2015-01-31,23.29,24.95,23.24,24.54,302702.0
2014-12-31,26.28,26.925,26.14,26.82,71413.0
2014-11-30,33.11,33.17,32.097,32.23,18783.0
2014-10-31,37.36,37.99,37.36,37.99,9559.0
2014-09-30,42.81,42.81,41.73,41.866,20328.0
2014-08-31,43.95,44.11,43.84,44.11,3917.0
2014-07-31,44.49,45.01,44.49,44.62,69592.0
2014-06-30,47.22,47.22,47.02,47.17,12918.0
2014-05-31,45.31,45.31,45.3,45.3,318.0
2014-04-30,43.73,43.95,43.723,43.95,1735.0
2014-03-31,44.0,44.13,43.83,44.07,4845.0
2014-02-28,43.67,44.066,43.67,44.018,15544.0
2014-01-31,41.81,41.94,41.64,41.67,7273.0
2013-12-31,42.72,42.91,42.72,42.88,11022.0
2013-11-30,41.0,41.441,41.0,41.41,2743.0
2013-10-31,42.11,42.246,42.0,42.04,22017.0
2013-09-30,42.7,43.17,42.7,43.17,1743.0
2013-08-31,44.26,44.406,43.92,44.11,2391.0
2013-07-31,42.24,42.89,41.26,42.8,16803.0
2013-06-30,40.41,40.41,39.99,39.99,3233.0
2013-05-31,39.03,39.2,38.77,38.83,29626.0
2013-04-30,39.69,39.69,39.13,39.13,9543.0
2013-03-31,40.758,41.0,40.73,40.94,4068.0
2013-02-28,39.77,39.79,39.33,39.37,4330.0
2013-01-31,41.6,41.83,41.6,41.8,128061.0
2012-12-31,39.21,39.815,39.21,39.67,31252.0
2012-11-30,38.91,39.0,38.8,39.0,2204.0
2012-10-31,38.01,38.4,37.93,37.96,16623.0
2012-09-30,40.26,40.44,40.13,40.324,7375.0
2012-08-31,42.1,42.21,41.76,42.16,6070.0
2012-07-31,39.48,39.48,38.58,38.62,13288.0
2012-06-30,36.48,38.0,36.44,37.74,44862.0
2012-05-31,38.75,38.75,38.06,38.256,32948.0
2012-04-30,45.6,46.083,45.6,46.04,9022.0
2012-03-31,45.98,46.154,45.764,45.81,9563.0
2012-02-29,47.42,47.42,46.281,47.21,20911.0
2012-01-31,44.77,44.77,43.74,43.846,13287.0
2011-12-31,43.34,43.79,43.34,43.48,34276.0
2011-11-30,43.85,44.2,43.719,43.79,38957.0
2011-10-31,40.07,40.66,39.89,40.4,47119.0
2011-09-30,38.13,38.13,35.08,35.13,89228.0
2011-08-31,39.99,40.149,39.84,39.95,22844.0
2011-07-31,43.53,43.86,43.48,43.74,56090.0
2011-06-30,43.68,43.783,43.1,43.57,36596.0
2011-05-31,46.88,46.97,46.5,46.77,37740.0
2011-04-30,51.0,51.39,50.87,51.24,39183.0
2011-03-31,47.73,48.519,46.79,48.4,78404.0
2011-02-28,45.5,45.584,45.02,45.195,77856.0
2011-01-31,44.0,44.63,43.28,44.23,108657.0
2010-12-31,41.86,43.234,41.86,43.1,72096.0
2010-11-30,39.63,39.97,39.27,39.29,45657.0
2010-10-31,38.67,38.8,38.4,38.63,12115.0
2010-09-30,38.24,38.66,37.945,38.49,53790.0
2010-08-31,36.81,36.94,35.848,35.944,91423.0
2010-07-31,37.45,38.33,37.45,38.26,21041.0
2010-06-30,36.9,37.197,36.3,36.6,69205.0
2010-05-31,37.33,37.6,36.711,37.16,50797.0
2010-04-30,43.509,43.75,43.25,43.51,58245.0
2010-03-31,40.88,41.12,40.51,40.87,57209.0
2010-02-28,38.94,39.59,38.94,39.49,70569.0
2010-01-31,37.49,37.659,36.79,36.99,30591.0
2009-12-31,40.84,40.84,40.35,40.46,22827.0
2009-11-30,39.75,41.1,39.75,40.77,45277.0
2009-10-31,40.87,41.0,39.78,39.78,62978.0
2009-09-30,35.5,36.85,34.8,36.6,58143.0
2009-08-31,37.47,37.47,36.722,37.04,48614.0
2009-07-31,36.75,38.23,36.75,37.98,54701.0
2009-06-30,38.43,38.48,37.0,37.721,82489.0
2009-05-31,36.09,36.63,35.63,36.05,397359.0
2009-04-30,29.76,30.21,29.63,29.83,108855.0
2009-03-31,29.98,30.53,29.36,30.24,159369.0
2009-02-28,27.48,27.89,26.9,27.5,212720.0
2009-01-31,29.76,29.76,29.0,29.08,8152.0
2008-12-31,29.56,33.03,29.56,29.89,33240.0
2008-11-30,34.67,34.67,34.57,34.57,712.0
2008-10-31,40.0,42.336,40.0,42.336,1007.0
2008-09-30,57.54,60.661,57.54,60.661,2802.0
2008-08-31,70.85,70.85,69.42,69.576,1150.0
2008-07-31,76.99,76.99,73.895,74.18,3048.0
2008-06-30,83.01,85.76,83.01,83.92,5406.0
2008-05-31,73.89,75.092,73.39,75.084,3354.0
2008-04-30,65.51,65.51,65.51,65.51,100.0
2008-03-31,60.3,60.3,57.77,57.77,1300.0
2008-02-29,59.03,59.03,57.06,59.03,700.0
2008-01-31,52.3,52.3,52.3,52.3,100.0
2007-12-31,53.64,54.026,53.64,54.026,14700.0
